,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
37708,SERVEL,4067040,1,1,4511104,"2212900,3314708,3314711,3314712,3314716,3314717,4511101,4511102,4511106,4520001,4520002,4520003,4520004,4520005,4520006,4520007,4530701,4530702,4530703,4530705,4661300,4662100,4663000,4669999,7490104",SE,3195,Parceiros,1,0,0,1,1,0
37850,,6965160,1,51,2833000,"2821601,3314706,3314711,3314799,3329599,4322301,4645101,4661300,4663000,4742300,4759899,4773300,4789099,6201501,6209100,6311900",RS,8785,Parceiros,1,0,0,1,0,0
37904,,89800502,11,82,4789099,"2212900,3314711,3314712,4511101,4511102,4511103,4520001,4530701,4530703,4530705,4541204,4541206,4618499,4661300,4662100,4686902,4689399,4930201,4930202,5211799,5250804,6311900,6499999,6619302,6619399",RS,8725,Parceiros,1,0,0,1,1,0
38068,COAMO,75904383,119,13,4623199,"4622200,4623109,4661300,4671100,4683400,4692300,4732600,4771704,5211701,7490103",MS,9011,Parceiros,1,1,0,0,0,0
38078,MUTUM MAQUINAS E IMPLEMENTOS AGRICOLAS,8041695,1,61,4511101,"3314711,3314712,4511102,4512901,4530703,4661300,7490104",MA,803,Parceiros,1,0,0,1,1,0
38084,,985004,1,76,4662100,"4663000,4614100,7732201,3314711,4681805,4661300",ES,5705,Parceiros,1,0,0,1,0,0
38085,AGRIMAQ EQUIPAMENTOS AGRICOLAS,5547840,1,92,4530703,"4661300,4520001,4530705,4732600,4930201,4930202,4623106,4683400,4744001,4614100,4611700,7731400",MS,9107,Parceiros,1,1,0,0,0,0
38141,,1369005,1,59,2833000,"2832100,3321000,2930101,4661300,4663000,4511105,4520001,4642702,7731400",SP,6179,Parceiros,1,0,0,0,0,0
38373,CASA DA LAVOURA,5054404,4,24,4771704,"3314711,3314713,4611700,4613300,4618499,4623101,4623106,4623109,4643501,4644302,4661300,4669901,4672900,4673700,4674500,4679601,4679699,4683400,4685100,4693100,4732600,4741500,4742300,4744001,4744003,4744004,4763604,4782201,4782202,4789004,4789005,4789099,4930201,4930202,7490103",RO,13,Parceiros,1,1,0,1,0,0
38781,,89842686,4,14,4789099,"4520001,4530701,4530703,4619200,4623106,4632001,4661300,4683400,4729699,4930202,4930203,7020400",RS,8727,Parceiros,1,1,0,0,0,1
38848,SERVEL ITABAIANA,4067040,4,54,4511104,"2212900,4511101,4511102,4511106,4520004,4520006,4530701,4530702,4530703,4530705,4661300,4662100,4663000,4669999,7490104",SE,3157,Parceiros,1,0,0,0,0,0
38865,,6044573,4,46,3314714,"4530703,4619200,4520002,4520001,4661300,4512901,4789099,4530704,4530701",MG,4147,Parceiros,1,0,1,0,0,1
