,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200,cnpj_basico
449,AL,2825,Sem Parceria,1,0,0,1,1,0,1
450,AL,2827,Sem Parceria,0,0,0,0,0,1,4
451,AL,2827,Sem Parceria,0,0,0,0,1,0,1
452,AL,2827,Sem Parceria,0,0,1,0,0,0,8
453,AL,2827,Sem Parceria,0,1,0,0,0,0,1
454,AL,2827,Sem Parceria,1,0,0,0,0,0,1
455,AL,2829,Sem Parceria,0,0,0,0,0,1,1
456,AL,2829,Sem Parceria,0,0,1,0,0,0,2
457,AL,2831,Sem Parceria,0,0,0,0,0,1,1
458,AL,2833,Sem Parceria,0,0,0,0,0,1,24
459,AL,2833,Sem Parceria,0,0,0,1,0,0,3
460,AL,2833,Sem Parceria,0,0,1,0,0,0,28
461,AL,2833,Sem Parceria,0,1,0,0,0,0,5
462,AL,2833,Sem Parceria,1,1,0,0,0,0,2
463,AL,2835,Sem Parceria,0,0,1,0,0,0,2
464,AL,2835,Sem Parceria,1,0,1,0,0,0,1
465,AL,2837,Sem Parceria,0,0,0,0,0,1,9
466,AL,2837,Sem Parceria,0,0,0,1,0,0,1
467,AL,2837,Sem Parceria,0,0,1,0,0,0,7
